SessionID,Mean,Peak,Perc20,Perc80,QuartDev,Std,Strong_Peak,dataQual,Max,Min,TwoClassLabel,ThreeClassLabel
10_1,0.341221008,0.75,0.318600793,0.406699039,0.063353163,0.112288888,0,0.008333333,0.438777386,0.020971004,1,2
10_2,1.619037377,7.333333333,1.493097348,1.752749261,0.217912089,0.148574148,0,0.009722222,1.888733633,1.328495057,3,2
10_3,1.099944255,3.833333333,1.012186037,1.206217743,0.165173691,0.102042795,0,0.016666667,1.283017292,0.900163174,1,2
10_4,1.814497042,12.75,1.591274077,2.11394439,0.423885472,0.357482685,0,0.0375,2.408338442,0.939481335,1,2
11_1,2.141442961,5.833333333,1.96880311,2.355814575,0.336868339,0.276649431,0,0.016666667,2.541304971,1.522653291,1,1
11_10,3.031553468,6.452498627,1.992207471,4.066125629,1.680667844,1.182239228,0.564250412,0.092943438,5.319181182,0.747569346,1,1
11_11,3.791633123,5.967465753,2.91230487,4.628918352,1.368068307,0.971452656,0.921803653,0.036315639,5.984031937,2.043227457,1,1
11_12,0.390993204,3.984204793,-0.118266746,0.896433095,0.818810262,0.568439197,0.149782135,0.16625817,1.462000213,-0.710638328,1,2
11_13,0.560042423,2.894093303,0.26984229,0.868535209,0.480231293,0.361421165,0.284048157,0.105530474,1.093218079,-0.241805363,3,2
11_14,0.303364162,2.93286677,-0.250511231,0.859583875,0.911172361,0.60992939,0.150336962,0.119945568,1.219869062,-0.947127838,3,2
11_15,1.33540608,2.994444444,0.782373634,1.889961645,0.895538836,0.629225556,0.151851852,0.073611111,2.335074953,0.106783453,3,3
11_16,0.292747769,3.876080692,-0.524395101,1.13406207,1.361375051,0.958683601,0.100864553,0.281820365,1.610500623,-1.758358542,3,2
11_17,0.937324952,5.108089261,0.693822988,1.226246358,0.420473278,0.358827798,0.034867503,0.06738145,1.444576334,0.085933092,1,2
11_18,0.44770042,3.161111111,0.091025267,0.813746447,0.567809029,0.439319655,0.051111111,0.088611111,1.040520882,-0.530016529,1,1
11_19,0.373120072,2.464503043,0.201778252,0.571864097,0.294276557,0.247331386,0.033806626,0.067613252,0.691975977,-0.216150188,1,1
11_2,1.870217079,8.666666667,1.491990403,2.370724663,0.712331778,0.510017951,0.055555556,0.0375,2.703982072,0.893430772,1,2
11_20,0.169822066,2.047199639,-0.026718597,0.375309633,0.324475054,0.23660626,0.013550136,0.104279584,0.511213089,-0.350742828,1,2
11_21,-0.03619982,1.305607769,-0.367618791,0.309683416,0.551218224,0.379002231,0.012531328,0.159069549,0.476414937,-0.837328732,3,2
11_22,0.348659085,2.503412503,-0.106529775,0.809416469,0.751693545,0.525625149,0.068250068,0.089578215,1.185020484,-0.716578701,3,2
11_23,0.13509511,4.570652174,-0.559376291,0.839919124,1.136418873,0.796682026,0.076086957,0.116304348,1.428627151,-1.461630654,3,2
11_24,0.220653811,4.02173913,-0.134758561,0.597881404,0.583629352,0.444120411,0.054896794,0.084870444,0.942321906,-0.728901869,1,1
11_25,0.554580717,3.256227758,0.372632183,0.766512118,0.318807892,0.232914939,0.005931198,0.022390273,0.891726676,0.058532079,1,2
11_26,0.55030208,1.903364632,0.38603541,0.726698438,0.261856396,0.205217431,0.031298905,0.02014867,0.885076724,0.111904415,1,1
11_27,-0.120249016,2.600378788,-0.626227417,0.40139456,0.842752711,0.576765971,0.011363636,0.124621212,0.707616908,-1.336273313,1,1
11_28,0.169313166,3.509021842,-0.179690625,0.523189942,0.550597999,0.42085759,0.061728395,0.102564103,0.851873921,-0.728149436,1,1
11_29,0.345156871,2.083333333,0.133031673,0.561717741,0.361510246,0.261639419,0,0.0703125,0.747792552,-0.24480698,1,2
11_3,2.981980039,7.5,1.709037644,4.169280625,1.888627086,1.160171898,0.666666667,0.029166667,4.888922332,0.985735194,1,1
11_30,0.416492525,2.451690821,0.162145991,0.687007356,0.414937548,0.325511694,0.038647343,0.079951691,0.876100003,-0.33052768,1,2
11_4,2.5223342,7.685185185,1.827488606,3.259050376,1.203938345,1.085252214,0.37037037,0.023148148,4.832261611,0.58538449,1,1
