Session,Device ID,Participant ID,UTC_Start,UTC_End,Perceived score (L-H),Perceived Score (L-M-H),Known Context
1,A012B4,1,1552980542,1552991342,L,M,L
2,A010C3,1,1552990800,1552991100,L,M,H
3,A010C3,1,1552991491,1552992391,H,H,M
4,A010C3,1,1552992660,1552992960,L,L,A
5,A010C3,1,1552993140,1552993440,L,M,
6,A012B4,1,1553669253,1553680053,L,M,
7,A012B4,1,1553683330,1553694130,H,M,
8,A012B4,1,1553697785,1553708585,H,M,
9,A012B4,1,1553708050,1553718850,L,L,
10,A012B4,1,1553752284,1553763084,L,L,
11,A012B4,1,1553767789,1553778589,L,M,
12,A012B4,1,1553779648,1553790448,H,H,
13,A012B4,1,1553785251,1553796051,H,H,
14,A012B4,1,1556963094,1556973894,H,H,
15,A012B4,1,1556977450,1556988250,L,M,
16,A012B4,1,1556986508,1556997308,L,L,
17,A012B4,1,1556995151,1557005951,L,M,
18,A012B4,1,1557064655,1557075455,L,L,
19,A012B4,1,1557074574,1557085374,L,L,
20,A012B4,1,1557126806,1557137606,L,L,
21,A012B4,1,1557133643,1557144443,H,M,
22,A012B4,1,1557144592,1557155392,L,M,
23,A012B4,1,1557154942,1557165742,L,L,
24,A012B4,1,1557217750,1557228550,L,M,
25,A010C3,3,1552997820,1552998120,H,M,L
26,A010C3,3,1552998444,1552999344,L,M,H
27,A010C3,3,1552999440,1552999740,L,M,M
28,A010C3,3,1552999860,1553000160,L,L,A
29,A019A8,3,1554371173,1554381973,L,L,
30,A019A8,3,1554381152,1554391952,L,L,
31,A019A8,3,1554395091,1554405891,L,L,
32,A019A8,3,1554446777,1554457577,L,L,
33,A019A8,3,1554459860,1554470660,H,H,
34,A019A8,3,1554466444,1554477244,H,M,
35,A019A8,3,1554968063,1554978863,L,L,
36,A019A8,3,1554978391,1554989191,L,L,
37,A019A8,3,1554998064,1555008864,L,L,
38,A019A8,3,1555049396,1555060196,L,L,
39,A019A8,3,1555057141,1555067941,L,M,
40,A019A8,3,1555155897,1555166697,L,L,
41,A019A8,3,1555155966,1555166766,L,L,
42,A019A8,3,1555155993,1555166793,L,M,
43,A019A8,3,1555309196,1555319996,L,L,
